category,agentic_ceiling,agentic_confirmed,all_ceiling,all_confirmed,human_conversation,n_robust_configs,n_robust_configs_of,primary_tier
Climb equipment or structures.,0.00,0.00,0.00,0.00,0.00,5,5.00,robust
Smooth surfaces of objects or equipment.,0.00,0.00,0.00,0.00,0.00,5,5.00,robust
Shape materials to create products.,0.00,0.00,0.00,0.00,0.00,5,5.00,robust
Set up protective structures or coverings near work areas.,0.00,0.00,0.00,0.00,0.00,5,5.00,robust
Protect people or property from threats such as fires or flooding.,3.95,3.95,3.95,0.00,0.00,5,5.00,robust
Embalm corpses.,0.00,0.00,0.00,0.00,0.00,5,5.00,robust
Engrave objects.,8.92,8.92,8.92,0.00,0.00,5,5.00,robust
Manage control systems or activities.,28.65,28.65,28.65,0.00,0.00,5,5.00,robust
Hunt animals.,0.00,0.00,0.00,0.00,0.00,5,5.00,robust
Supervise activities in correctional facilities.,0.00,0.00,0.00,0.00,0.00,5,5.00,robust
Tend watercraft.,0.00,0.00,0.00,0.00,0.00,5,5.00,robust
Test sites or materials for environmental hazards.,46.13,44.02,46.16,0.07,0.07,2,5.00,robust
Dispose of waste or debris.,0.14,0.14,0.28,0.14,0.14,5,5.00,robust
Operate lifting or moving equipment.,25.55,25.55,26.08,0.87,0.87,5,5.00,robust
Assemble products or work aids.,2.23,2.23,2.58,0.87,0.87,5,5.00,robust
Disassemble equipment.,4.88,4.88,5.75,0.88,0.88,5,5.00,robust
Operate construction or excavation equipment.,1.22,1.22,2.13,0.91,0.91,5,5.00,robust
Administer emergency medical treatment.,2.76,2.76,2.76,1.18,0.68,5,5.00,robust
Operate transportation equipment or vehicles.,8.43,7.44,9.36,1.41,1.41,5,5.00,robust
Build structures.,0.79,0.79,1.75,1.47,1.42,5,5.00,robust
Remove workpieces from production equipment.,46.52,46.52,47.10,1.66,1.66,2,5.00,robust
Operate agricultural or forestry equipment.,0.00,0.00,1.73,1.73,1.73,5,5.00,robust
Repair workpieces or products.,0.65,0.65,1.74,1.74,1.74,5,5.00,robust
Sew garments or materials.,0.00,0.00,1.75,1.75,1.75,5,5.00,robust
Signal others to coordinate work activities.,9.00,9.00,10.34,1.79,1.79,5,5.00,robust
Develop health assessment methods or programs.,7.74,7.74,8.77,2.63,2.63,5,5.00,robust
Manage agricultural or forestry operations.,0.73,0.73,2.65,2.65,2.65,5,5.00,robust
Perform agricultural activities.,13.69,13.69,16.38,2.70,2.70,5,5.00,robust
Operate cutting or grinding equipment.,3.29,3.29,6.34,3.05,3.05,5,5.00,robust
"Clean workpieces, finished products, or other objects.",0.00,0.00,3.28,3.28,3.28,5,5.00,robust
"Clean tools, equipment, facilities, or work areas.",0.56,0.47,3.51,3.35,3.35,5,5.00,robust
Repair vehicle components.,0.17,0.17,3.55,3.55,3.55,5,5.00,robust
Drill holes in earth or materials.,0.00,0.00,3.73,3.73,3.73,5,5.00,robust
Monitor traffic conditions.,20.48,20.48,24.28,3.80,3.80,5,5.00,robust
Apply protective solutions or coatings.,1.55,1.55,3.85,3.85,3.85,5,5.00,robust
Maintain medical equipment or instruments.,4.43,4.43,6.58,4.03,3.34,5,5.00,robust
Develop plans for managing or preserving natural resources.,0.00,0.00,4.14,4.14,4.14,5,5.00,robust
Perform general construction or extraction activities.,1.18,1.18,4.51,4.20,3.98,5,5.00,robust
Direct vehicle traffic.,7.21,7.21,11.46,4.25,4.25,5,5.00,robust
Prepare industrial materials for processing or use.,1.47,1.47,5.12,4.68,4.68,5,5.00,robust
Evaluate production inputs or outputs.,10.85,10.85,13.00,4.87,4.87,5,5.00,robust
Package objects.,15.52,15.37,18.12,4.92,4.92,5,5.00,robust
Cut trees or other vegetation.,1.42,1.42,6.67,5.25,5.25,5,5.00,robust
Fabricate medical devices.,0.00,0.00,5.26,5.26,5.26,5,5.00,robust
"Load products, materials, or equipment for transportation or further processing.",8.41,8.41,13.11,5.52,5.52,5,5.00,robust
Assess characteristics of land or property.,26.07,26.07,29.14,5.53,4.68,5,5.00,robust
"Join parts using soldering, welding, or brazing techniques.",1.86,1.86,5.99,5.59,5.59,5,5.00,robust
Maintain vehicles in working condition.,4.45,4.45,10.46,6.01,6.01,5,5.00,robust
Inspect vehicles.,4.74,4.74,9.49,6.05,5.75,5,5.00,robust
"Move materials, equipment, or supplies.",14.90,14.90,18.66,6.22,5.40,5,5.00,robust
Maintain tools or equipment.,3.98,3.98,8.58,6.36,6.35,5,5.00,robust
Fabricate devices or components.,3.13,3.09,8.29,6.47,6.47,5,5.00,robust
